Token,Lemma
Arbeit,Arbeit
',--
allgemeiz,allgemeiz
",",--
aufgenommen,aufnehmen
werden,werden
würde,werden
.,--
„,--
Bei,bei
einem,ein
.,--
zweiten,zweiter
 , 
Empfona,Empfona
in,in
.,--
den,der
Abendstunden,Abendstunder
erklärten,erklären
Arbeiterpertreter,Arbeiterpertreter
und,und
vereinzelte,vereinzelt
Berliner,Berliner
Beamtenvertreter,Beamtenvertreter
",",--
doß,doß
infolge,infolge
des,der
.,--
Auftretens,Auftreten
von,von
Paul,Paul
Hoffmann,Hoffmann
von,von
.,--
neuem,neu
Erregung,Erregung
in,in
die,der
Arbeiterschaft,Arbeiterschaft
 , 
/,--
hineingetragen,hineingetragen
jet,jet
.,--
„,--
Der,der
Gtreiferlaß,Gtreiferlaß
des,der
Reichswehrministers,Reichswehrminister
ist,sein
 , 
bereits,bereits
gestern,gestern
abend,abend
aufgehoben,aufheben
worden,werden
.,--
Die,der
Auf-,Auf-
Hebung,Hebung
ist,sein
sofort,sofort
allen,aller
Berliner,Berliner
:,--
Gisenbahndienstftellen,Gisenbahndienstftelle
bekannt,bekannt
gege-,gege
ben,ben
worden,werden
.,--
is,is
EN,EN
OU,OU
BRCHEA,BRCHEA
DEN,DEN
»,--
:,--
-,--
*,*
:,--
Dor,Dor
Verkehr,Verkehr
am,an
gestrigen,gestrig
Sonntag,Sonntag
zeigte,zeigen
gegen,gegen
die,der
Vortages,Vortag
eine,ein
schwache,schwach
Besserung,Besserung
.,--
Der,der
Betrieb,Betrieb
auf,auf
der,der
Stettiner,Stettiner
Vorort-,Vorort
stre,Stre
>,>
e.,e.
konntis,Konntis
',--
im,in
Laufe,Lauf
des,der
Tages,Tag
wieder,wieder
aufgenommen,aufnehmen
werden,werden
",",--
 , 
-,--
doch,doch
blieb,bleiben
die,der
Zugfolge,Zugfolge
auf,auf
den,der
.,--
drei,drei
Nordbahnstre,Nordbahnstre
>,>
en,en
sehr,sehr
un,un
»,--
 , 
regelmäßig,regelmäßig
.,--
Zm,zm
Übrigen,Übrig
Vorortverkehr,Vorortverkehr
zeigte,zeigen
sich,sich
ebenfalls,ebenfalls
eine,ein
etwas,etwas
größere,groß
Regelmäßigkeit,Regelmäßigkeit
",",--
doch,doch
.,--
ist,sein
auch,auch
dort,dort
',--
der,der
Verkehr,Verkehr
.,--
nur,nur
sehr,sehr
stark,stark
eingeschränkt,einschränken
möglich,möglich
.,--
Dex,Dex
Fernverkehr,Fernverkehr
.,--
nach,nach
allen,aller
Ber,Ber
»,--
liner,lin
Bahnhöfen,Bahnhof
leidet,leiden
naturgemäß,naturgemäß
auch,auch
weiterhin,weiterhin
unter,unter
den,der
Un,Un
»,--
.,--
regelmäßigbeiten,Regelmäßigbeite
des,der
.,--
Berliner,Berliner
Betriebes,Betrieb
.,--
So,so
konnten,können
3,3
",",--
B.,B.
gestern,gestern
vormittag,vormittag
die,der
.,--
-aus,-aus
',--
der,der
Richtung,Richtung
",",--
Brombeyg,Brombeyg
.,--
ankommenden,ankommend
Züge,Zug
 , 
.,--
nur,nur
bis,bis
.,--
nach,nach
Kaulsdorf,Kaulsdorf
geführt,führen
werden,werden
",",--
von,von
“,--
wo,wo
.,--
“,--
aus-,aus-
die,der
mit,mit
],]
:,--
 , 
diesen,dieser
Zügen,Zügen
ankommenden,ankommenden
.,--
Reisenden,reisend
dis,dis
Vorortzüge,Vorortzug
zur,zu
Weiter,Weiter
»,--
 , 
xeiss,xeiss
nach,nach
.,--
Berlin,Berlin
"""",--
benußen,benußen
müßten,müssen
.,--
"""",--
Die,der
Personenzüge,Personenzug
nach,nach
Schle,Schle
»,--
.,--
|,|
.,--
sien,Sie
",",--
die,der
bis,bis
vorgestern,vorgestern
nux,nux
bis,bis
„,--
Sommerfeld,Sommerfeld
verkehrten,verkehren
",",--
sind,sein
.,--
 , 
gestern,gestern
bis,bis
"""",--
Liegnih,Liegnih
dezw,dezw
..,..
Mochbern,Mochber
",",--
einer,ein
Voroxtstation|,Voroxtstation|
von,von
 , 
“,--
2,2
v,v
 , 
Feltnahme,Feltnahme
von,von
Eisenbahnern,Eisenbahner
.,--
",",--
|,|
Im,in
Laufe,Lauf
|,|
des,der
-gostrigen,-gostrigen
Jagos,Jagos
sind,sein
.,--
tn,tn
Berkin,Berkin
eine,ein
"""",--
Anzahl,Anzahl
Eisenbahnarbeiter,Eisenbahnarbeiter
festgenommen,festnehmen
und,und
in,in
Kraft,Kraft
»,--
 , 
+,+
wagen,wagen
